Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-03-16,SBICARD,EQ,755.0,661.0,755.0,656.0,678.0,681.4,709.41,60893377,4319838169900000.0,1341563,35341400,0.5804
2020-03-17,SBICARD,EQ,681.4,691.0,747.95,689.0,736.1,730.9,725.27,15147702,1098622070945000.1,601347,5690604,0.37570000000000003
2020-03-18,SBICARD,EQ,730.9,752.1,769.0,680.0,687.0,689.2,717.14,8950986,641909491315000.0,394939,3197852,0.35729999999999995
2020-03-19,SBICARD,EQ,689.2,660.0,717.0,650.0,690.35,692.05,687.86,6432291,442450907385000.06,335234,2613207,0.40630000000000005
2020-03-20,SBICARD,EQ,692.05,706.25,730.0,690.25,725.0,724.5,709.06,6492749,460372383060000.06,325953,3486281,0.5369
2020-03-23,SBICARD,EQ,724.5,659.0,698.0,580.0,584.5,582.4,624.81,6260568,391165788965000.0,365510,3683243,0.5883
2020-03-24,SBICARD,EQ,582.4,620.0,623.95,575.05,620.0,613.7,600.74,4019346,241456375030000.03,317311,1709102,0.4252
2020-03-25,SBICARD,EQ,613.7,601.0,648.9,591.4,620.0,624.95,618.46,3488027,215721528755000.03,202662,1063676,0.305
2020-03-26,SBICARD,EQ,624.95,634.0,693.8,621.45,652.5,650.95,658.19,4360649,287012805405000.0,281979,1666009,0.3821
2020-03-27,SBICARD,EQ,650.95,675.0,690.0,650.0,655.3,655.9,668.0,3114721,208062614860000.0,192953,1252444,0.4021
2020-03-30,SBICARD,EQ,655.9,640.0,642.7,607.0,617.5,615.35,627.04,1791951,112362542709999.98,147201,746302,0.4165
2020-03-31,SBICARD,EQ,615.35,635.0,638.0,608.55,618.4,618.65,619.7,2334681,144679741775000.0,125201,870041,0.37270000000000003
2020-04-01,SBICARD,EQ,618.65,624.0,624.0,601.25,608.2,608.05,612.24,1501066,91901481890000.0,100175,574619,0.38280000000000003
2020-04-03,SBICARD,EQ,608.05,613.8,614.7,588.0,591.8,590.25,596.99,1693653,101109434235000.0,117158,846813,0.5
2020-04-07,SBICARD,EQ,590.25,605.0,611.0,582.0,585.8,586.05,590.0,3137486,185112073260000.0,170841,1534187,0.489
