Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-01-01,DLF,EQ,177.55,177.1,182.15,177.0,180.2,180.3,180.28,6246700,112613508050000.0,41137,417340,0.0668
2019-01-02,DLF,EQ,180.3,179.9,179.9,172.25,173.1,173.1,175.4,6604177,115836418375000.0,41658,1177344,0.1783
2019-01-03,DLF,EQ,173.1,173.1,174.95,171.15,171.95,172.45,173.17,5873745,101714839450000.0,39144,278923,0.0475
2019-01-04,DLF,EQ,172.45,173.05,175.8,170.65,175.5,175.15,173.76,5556175,96544659420000.0,72667,429369,0.07730000000000001
2019-01-07,DLF,EQ,175.15,178.0,184.0,177.1,179.05,179.8,181.08,10127291,183384239760000.0,68451,1036404,0.1023
2019-01-08,DLF,EQ,179.8,179.8,182.8,178.55,181.35,181.5,180.98,4704040,85135926960000.0,34802,435579,0.0926
2019-01-09,DLF,EQ,181.5,182.25,184.7,178.1,182.3,182.1,182.11,5570072,101437211050000.0,40886,385900,0.0693
2019-01-10,DLF,EQ,182.1,183.1,187.15,181.35,183.5,183.55,184.37,9198151,169581967770000.0,64564,888351,0.0966
2019-01-11,DLF,EQ,183.55,182.5,183.6,179.0,182.3,182.15,181.18,4565679,82721342835000.0,35670,224623,0.0492
2019-01-14,DLF,EQ,182.15,182.3,182.3,178.2,181.7,181.15,180.44,3741265,67508144110000.0,27860,183340,0.049
2019-01-15,DLF,EQ,181.15,182.5,187.2,182.0,185.85,185.95,184.03,4060162,74718466405000.0,27574,351244,0.08650000000000001
2019-01-16,DLF,EQ,185.95,185.6,187.75,182.5,183.3,182.95,184.63,4131732,76283519320000.0,27697,510413,0.1235
2019-01-17,DLF,EQ,182.95,183.7,185.8,181.55,184.2,184.2,183.88,4558933,83831847015000.0,30926,386512,0.0848
2019-01-18,DLF,EQ,184.2,184.5,184.6,179.3,180.55,180.35,181.15,4243642,76873928500000.0,27552,444992,0.10490000000000001
2019-01-21,DLF,EQ,180.35,180.55,182.1,176.2,176.4,177.25,178.93,3361204,60143261779999.99,22984,322109,0.0958
2019-01-22,DLF,EQ,177.25,177.0,180.6,174.75,179.8,180.05,177.46,4744583,84199082435000.0,33185,572458,0.1207
2019-01-23,DLF,EQ,180.05,180.4,180.85,176.2,177.1,177.25,177.84,4567262,81222840120000.0,28252,236255,0.0517
2019-01-24,DLF,EQ,177.25,177.9,183.7,176.65,177.4,177.75,179.71,5827123,104716773925000.0,42045,652731,0.11199999999999999
2019-01-25,DLF,EQ,177.75,178.85,180.1,143.1,159.5,158.0,164.1,20781142,341022632320000.0,123258,2667683,0.12840000000000001
2019-01-28,DLF,EQ,158.0,160.0,167.6,158.5,163.9,164.05,162.35,11812368,191770081435000.0,91440,1342758,0.1137
2019-01-29,DLF,EQ,164.05,163.0,168.2,162.05,165.5,164.9,164.77,4196603,69145446210000.0,46064,315124,0.0751
2019-01-30,DLF,EQ,164.9,166.0,166.4,160.05,163.95,164.2,162.78,4379914,71297099715000.0,43479,219652,0.0501
2019-01-31,DLF,EQ,164.2,165.0,168.0,158.5,164.4,164.85,163.04,5587357,91096070280000.0,47955,736764,0.1319
2019-02-01,DLF,EQ,164.85,164.95,181.05,162.65,166.45,165.7,170.36,13045972,222251893719999.97,95810,1013361,0.07769999999999999
2019-02-04,DLF,EQ,165.7,165.9,165.95,158.2,163.6,163.6,161.64,5652935,91375025050000.0,54896,480531,0.085
2019-02-05,DLF,EQ,163.6,163.05,165.35,154.55,160.0,159.75,159.89,7095047,113444514200000.0,62699,598410,0.0843
2019-02-06,DLF,EQ,159.75,158.0,162.5,152.05,161.15,160.35,157.46,10746796,169218670285000.0,91632,532531,0.0496
2019-02-07,DLF,EQ,160.35,161.0,163.65,157.2,159.9,160.4,160.25,7154145,114642569925000.0,59544,472159,0.066
2019-02-08,DLF,EQ,160.4,160.0,169.0,157.85,165.95,164.75,163.53,10455050,170974540440000.0,87789,807229,0.0772
2019-02-11,DLF,EQ,164.75,164.8,165.95,161.1,164.0,163.7,163.6,5269340,86205127590000.0,45104,617415,0.11720000000000001
2019-02-12,DLF,EQ,163.7,164.0,165.65,157.6,159.8,159.15,160.71,5780211,92892290790000.0,46082,497185,0.086
